step,return
903,-48.280893137678504
977,-22.312601660378277
1135,-26.764263929100707
1365,-25.95645123301074
1627,-32.68983786273748
1727,-23.257721642032266
2673,-50.99291385244578
2759,-22.16024529421702
3139,-38.63667314359918
3518,-41.471779411658645
3783,-19.196313870488666
4137,-41.49221390346065
5020,-45.87038515508175
5312,-32.60690319468267
6017,-42.62573901563883
6289,-37.32611041376367
6659,-38.79625844815746
7096,-41.93066743761301
7597,-33.95391291100532
8047,-34.29721007402986
8579,-34.17426243331283
9459,-47.862261661328375
10203,-46.41993990074843
10273,-21.125670899404213
10974,-41.95172950043343
11448,-44.10980963334441
11804,-33.52820248808712
12243,-44.59591852221638
12723,-33.97374226897955
13446,-40.94240226224065
13769,-40.35641038790345
14062,-32.91788422758691
14132,-22.77166872797534
14716,-41.87808935553767
15469,-46.904242573305964
15865,-37.929196175187826
16582,-41.7309851590544
16969,-45.70296221971512
17540,-40.054248854285106
18357,-47.599911315599456
18716,-38.33931186143309
18802,-21.623893501237035
19196,-35.54651407035999
19459,-30.129066964113008
19734,-36.42218775022775
20194,-41.50613553216681
21194,-33.57835541944951
22194,-38.65872813342139
22283,-20.824013533303514
22676,-42.18791896989569
23676,-37.16181740001775
24676,-33.00055685546249
25676,-28.952441512607038
26303,-59.849340952932835
27303,-49.64499825844541
28303,-37.39952354482375
28591,-34.08488990087062
28819,-24.345695182644704
29180,-35.73466572212055
30180,-35.488309565000236
30618,-43.72912644222379
31618,-36.725603851955384
32618,-26.617285972461104
33476,-72.57509804703295
34476,-56.19381369650364
35476,-45.32555059459992
35786,-34.876088705146685
36786,-48.35357993352227
36889,-23.65071496955352
37164,-33.95684919366613
37610,-28.938365458277985
38270,-44.315610023448244
39270,-54.17699918569997
39652,-40.92344112507999
40500,-43.18355799879646
40827,-33.85836878186092
41464,-37.904594159685075
42025,-51.71213047555648
42919,-50.53650951961754
43328,-43.77970548346639
43789,-36.46259405929595
44602,-45.237028510309756
45186,-56.261446829885244
45663,-34.18957658763975
46663,-16.34465831448324
47663,-26.04616031749174
48342,-36.00632136501372
49193,-35.15852908510715
49383,-22.95171844837023
49749,-38.71592254983261
